                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3421,                 2.8975,                 3.4832,                 1.7032,                0.00236,                 0.3109,                0.04737,                0.01005,                0.00187,                0.22756,                 0.0041,                0.00107,                 2.8122,                 7.6645,                 4.9985,                 3.5173,                 0.0991,                 0.0001,                 0.0001
                      1,                 1.3953,                 2.5949,                 3.5175,                 1.6834,                0.00242,                0.28526,                0.02716,                0.00786,                0.00242,                0.28526,                0.00589,                0.00172,                 2.6239,                 5.1608,                 4.8665,                 3.3697,               0.097297,             0.00029703,             0.00029703
                      2,                 1.2681,                 2.5817,                 3.4879,                 1.6587,                0.00281,                0.16026,                0.02194,                0.00553,                0.00281,                0.16026,                0.01108,                0.00371,                 2.1168,                 3.2322,                 4.7735,                 2.9738,                0.09549,              0.0004901,              0.0004901
                      3,                 1.1873,                 2.1308,                 3.4879,                 1.5254,                0.00288,                0.37821,                0.01233,                0.00348,                0.00288,                0.37821,                 0.0134,                0.00366,                 1.6229,                 2.5843,                 4.5832,                 2.4842,               0.093679,             0.00067921,             0.00067921
                      4,                 1.0234,                 1.9222,                 3.4185,                 1.4222,                0.00286,                0.37821,                0.01311,                0.00515,                0.00342,                0.46154,                0.01746,                0.00564,                  1.223,                 2.0758,                 4.3047,                  1.955,               0.091864,             0.00086436,             0.00086436
                      5,                0.87813,                 1.6424,                 3.2724,                 1.3206,                0.00339,                0.41026,                0.02639,                0.01605,                0.00339,                0.41026,                0.02872,                0.01739,                0.92377,                  1.624,                 3.9972,                 1.5491,               0.090046,              0.0010455,              0.0010455
                      6,                0.84488,                 1.4169,                 3.1898,                 1.2571,                0.00347,                      1,                 0.0569,                0.03812,                0.00347,                      1,                0.05892,                0.04008,                0.67924,                 1.2515,                 3.7393,                 1.2215,               0.088223,              0.0012228,              0.0012228
                      7,                0.72449,                 1.1997,                 3.2149,                 1.2197,                0.00377,                      1,                0.08462,                0.06151,                0.00377,                      1,                0.08629,                0.06173,                0.63396,                 1.1097,                 3.7115,                 1.1314,               0.086396,               0.001396,               0.001396
                      8,                0.63765,                 1.2856,                 3.1188,                 1.1119,                0.00386,                      1,                0.12584,                0.08229,                0.00386,                      1,                0.12739,                0.08223,                0.59369,                 1.0637,                 3.6867,                 1.1035,               0.084565,              0.0015654,              0.0015654
                      9,                0.57737,                 1.1062,                 2.9955,                 1.0818,                0.00397,                      1,                 0.1937,                0.13437,                0.00397,                      1,                0.19542,                0.14055,                0.52004,                 1.0125,                 3.6541,                 1.0535,               0.082731,              0.0017307,              0.0017307
                     10,                0.60333,                 1.0749,                 2.9277,                 1.0731,                0.00398,                      1,                0.23357,                0.18641,                0.00398,                      1,                0.23357,                0.18913,                0.48283,                0.99851,                 3.6161,                 1.0332,               0.080892,              0.0018921,              0.0018921
                     11,                0.59702,                 1.0896,                 2.8766,                 1.0889,                0.00422,                      1,                 0.3109,                0.24988,                0.00422,                      1,                 0.3109,                0.24819,                 0.4617,                0.96921,                 3.5844,                 1.0026,                0.07905,              0.0020495,              0.0020495
                     12,                0.74659,                 1.2652,                 2.7859,                 1.0952,                 0.0041,                      1,                0.35092,                0.29716,                 0.0041,                      1,                0.35092,                0.28779,                0.44324,                0.95978,                 3.5428,                0.97689,               0.077203,               0.002203,               0.002203
                     13,                0.59435,                 1.0296,                  2.641,                 1.0655,                0.00422,                      1,                0.36631,                0.30543,                0.00422,                      1,                0.36631,                0.29789,                0.46048,                0.88974,                 3.5213,                 0.9622,               0.075353,              0.0023525,              0.0023525
                     14,                0.72027,                 1.1255,                 2.7569,                 1.0817,                0.00413,                      1,                0.40566,                0.31499,                0.00413,                      1,                0.40566,                0.33138,                0.47624,                0.87915,                 3.4764,                0.97061,               0.073498,              0.0024981,              0.0024981
                     15,                0.62327,                 1.0962,                 2.5591,                  1.074,                0.00383,                0.60577,                 0.2846,                0.23027,                0.00383,                0.60577,                 0.2846,                0.23167,                0.48598,                0.85152,                 3.3905,                0.96955,                0.07164,              0.0026396,              0.0026396
                     16,                0.71094,                  1.055,                 2.4828,                 1.1023,                0.00403,                      1,                0.46268,                0.39858,                0.00403,                      1,                0.46268,                 0.3942,                0.48801,                0.81666,                 3.2564,                0.97079,               0.069777,              0.0027773,              0.0027773
                     17,                0.64173,                0.99384,                 2.3724,                 1.0527,                0.00415,                      1,                0.46357,                  0.406,                0.00415,                      1,                0.46357,                  0.399,                0.49954,                0.85874,                 3.1397,                 1.0057,               0.067911,              0.0029109,              0.0029109
                     18,                0.75053,                 1.2171,                 2.4177,                 1.1282,                0.00425,                      1,                0.41942,                0.36058,                0.00425,                      1,                0.41942,                0.36944,                0.53209,                0.79884,                 3.0931,                 1.0157,               0.066041,              0.0030407,              0.0030407
                     19,                0.58226,                 1.0363,                 2.2965,                0.97165,                0.31278,                0.95833,                0.40864,                0.35756,                0.31278,                0.95833,                0.40864,                 0.3666,                0.49933,                0.75396,                 3.0575,                0.98511,               0.064166,              0.0031664,              0.0031664
                     20,                0.70807,                0.85963,                  2.184,                 1.0899,                0.00442,                      1,                0.42329,                0.37138,                0.00442,                      1,                0.42329,                0.37661,                0.47316,                0.74306,                 3.0553,                0.95984,               0.062288,              0.0032882,              0.0032882
